INCIDENT TITLE,INCIDENT DATE,LOCATION,DESCRIPTION,CATEGORY,LATITUDE,LONGITUDE,GEO PRECISION CODE
Understanding Risk Boulder & Tech Challenge Wraps Up,10/25/15 15:00,"Kittredge West Hall, Boulder, Colorado","As part of Understanding Risk Boulder, RNI developed a ""Tech Challenge""  to provide $20k in seed funding to find innovative solutions using open source technology to improve resilience in Boulder and strengthen citizen engagement. Five finalists, whose ideas ranged from apps for better volunteer coordination, to urban climate change adaptation analysis, pitched their ideas to a juried panel. The winning submission is TrendsOnline: a community data dashboard created by the Community Foundation of Boulder and Code for Boulder, a local brigade of Code for America. TrendsOnline is a community indicators report that has been a valuable resource to nonprofits, government, business and residents in Boulder County but remains only available in print form. The new online version will complement the print edition by making allowing easier access to data, analysis, and provide a forum to convene government and residents about them. It will help identify the most pressing resilience needs in Boulder and help connect organizations and individuals to take collective action. TrendsOnline will provide open data and analysis through an online dashboard and apps. The code created to run the site will be open source, allowing any city to quickly and easily establish their own version of the dashboard. More information at http://bit.ly/1UlHpLk
The event itself was an important milestone for resilience in Boulder: as an open event, URB drew in more than 100 attendees from private sector, government, community-based organizations, researchers, and the general public. This provided a venue to share information and develop new partnerships. In a follow-up survey more than 80% of respondents felt that it URB was excellent for ""developing new partnerships"" and almost 90% found that it was an excellent event for knowledge exchange. Many attendees commented on the great environment for sharing and learning about resilience and hazards from new perspectives.",RNI Activities,40.002863,-105.263099,1
Understanding Risk Boulder launches at the National Center for Atmospheric Research,10/23/15 18:00,"National Center for Atmospheric Research, Mesa Laboratory","RNI, together with the World Bank's Global Facility for Disaster Reduction and Recovery launched the Understanding Risk Boulder conference and Tech Challenge in Boulder, Colorado. The two-day event convened the talent and expertise of the region's communities, scientists, technologists, private sector, and government to develop shared understanding of the challenges they face in building long-term resilience to natural hazards and the impacts of climate change. The opening ceremonies included ""Ignite Talks"" to preview weekend panels and keynote speeches. More information at http://urboulder.ushahidi.com.",RNI Activities,39.977893,-105.274966,1
Peta Kota Launches Ushahidi Deployment & Indonesian Language Manual,8/29/15 19:05,Neighborhood of Purwodinatan,"RNI's work in Semarang, Indonesia came to a close with a community event that drew hundreds of residents and an Ushahidi deployment for the city. The project met the goals of the Rockefeller Foundation by demonstrably connecting citizens with city government: members of the project have been recruited to a city government steering committee for resilience and active social media exchanges between the city government and Peta Kota show consistent engagement. 
So far the project:
Ñ Mapped 188,679 buildings in OpenStreetMap
Ñ Created 551 reports/posts in the Ushahidi deployment: http://petasmg.com.
Ñ Trained 13 people
Ñ  Produced an Indonesian training manual for use through the country: http://bit.ly/1TSQMUt.
 
The project made extensive use of innovative communications to increase citizen engagement: including neighborhood murals with URL and instructions for reporting; using large paper maps to collect analog reports for transfer to the deployment; and creating highly attended community events to launch the project.",RNI Activities,-6.972882,110.429455,2
Peta Kota Wraps Up OSM Mapping in Prep for Ushahidi Launch!,8/10/15 18:34,Neighborhood of Purwodinatan,Grobak Hysteria has wrapped up a phenomenal OpenStreetMap effort and is prepared to launch their Ushahidi deployment at the end of August with a massive street festival Semarang! See the linked video for more info.,RNI Activities,-6.972882,110.429455,2
Stakeholder Meetings in Boulder,8/5/15 18:32,"Boulder, Boulder County, Colorado, United States of America","In early August, RNI traveled to Boulder, Colorado to meet with a variety of stakeholders regarding our tech challenge. We also had an opportunity to present our work with the fantastic Analyze Boulder! If you're in the area be sure to check out their meet ups for data nerds: http://www.meetup.com/analyze-boulder/.",RNI Activities,40.014986,-105.270546,2
Ushahidi Training with Politecnico di Milano,7/13/15 12:12,"Milan, Lombardy, Italy","Working with Ushahidi's User Advocacy group, RNI piloted a community training and meet-up in Milan, Italy, which allowed city representatives to better understand both Ushahidi tools and the network of users that exist within their city. These users are an important resource: they understand the technology and can be representatives of community groups, companies, or institutions that offer important insights to resilience. They may hold the key to instituting a new technology to promote citizen engagement or they may help identify unmet needs or resilience gaps within a city. At the Milan meet-up we were excited to have a wide range of attendees with representatives from:
Ñ GeoBeyond, who provide geospatial services for businesses;
Ñ the CIMA foundation: a non-profit research organization committed to research, development, and training in the fields of Civil Protection, Disaster Risk Reduction and Biodiversity
Ñ The Urban and Regional Planning department of the Politecnico di Milano, who lead the KNOW4DRR project to explore how knowledge on disaster mitigation and adaptation is produced, shared, maintained, and used by a variety of stakeholders;
Ñ GnuCOOP, who provide open-source IT solutions to NGOs and nonprofits; and
Ñ representatives from the 100 Resilient Cities team in Milan.
For full write up see: http://www.ushahidi.com/2015/07/27/of-ushahidi-training-days-milan-recap/",RNI Activities,45.477752,9.228521,2
Ushahidi Training for Hysteria,7/9/15 12:02,"Hysteria Offices, Semarang, Indonesia",Grobak Hysteria has completed mapping the neighborhood of Purwodinatan and will now begin working with residents to submit reports about resilience challenges and capacity in their neighborhood. This will be Hysteria's first training in Ushahidi and will be led by the Humanitarian OpenStreetMap team! Follow events on the @petaSMG Twitter feed.,RNI Activities,-7.007112,110.3996,1
Sharing our work with the Politecnico di Milano,5/29/15 12:57,"Politecnico di Milano, Milan, Italy",RNI was invited to present about how Ushahidi encompasses resilience in its business practices at seminar for the Politecnico di Milano. I'm also excited to announce that this led to an opportunity for Ushahidi to provide an Ushahidi training and meet-up to help connect Ushahidi users to some of the University and city staff who are involved in Milan's ongoing resilience efforts as part of the 100 Resilient Cities Challenge.,RNI Activities,45.479738,9.227084,1
KNOW4DRR,5/25/15 17:54,"Universit_ Savoie Mont Blanc, Chamb_ry, France","RNI was invited to participate as a speaker for this expert consortium that explores how resilience knowledge is produced, shared, maintained, and used by affected communities and other stakeholders. RNI presented the talk ""Digital Volunteers and Web 2.0. in supporting international relief efforts."" More information about KNOW4DRR is available here: http://www.know4drr.polimi.it.",RNI Activities,45.566665,5.917553,1
Global Resilience Partnership with American Red Cross,5/10/15 12:50,"Dhaka, Dhaka Division, Bangladesh","As part of the Global Resilience Partnership's challenge to explore how resilience information can improve life in Dhaka's slums RNI attended a series of stakeholder meetings and conducted field work in the slums of Dhaka, Bangladesh. For more information on our project see http://www.globalresiliencepartnership.org/teams/crowdsourcing-community-resilience/.",RNI Activities,23.726359,90.406623,1
OSM community mapping in Purwodinatan,4/23/15 12:35,Purwodinatan Government Offices,"Hysteria has held a series of mapping parties, stakeholder meetings, and other events to map the neighborhood of  Purwodinatan. They've mapped tens of thousands of features. For a detailed look at the data they've created see the 100RC blog post listed as a news source link. Follow events on the @petaSMG Twitter feed.",RNI Activities,-6.972522,110.429663,2
Community OSM Training,3/20/15 21:35,Grobak Hysteria,Hysteria quickly put their new OpenStreetMap (OSM) skills to use by hosting their own training for residents of Semarang who would like to get involved in the project. Follow events on the @petaSMG Twitter feed.,RNI Activities,-7.007139,110.399578,1
OSM Training for Hysteria,3/15/15 21:17,Grobak Hysteria,The Humanitarian OpenStreetMap Team held the first training for Hysteria about how to use OpenStreetMap. This kicks off our project in Semarang!,RNI Activities,-7.007133,110.399514,1
Establishing Understanding Risk Boulder,3/3/15 21:13,City of Boulder,In March we began to organize our fantastic steering committee for the first ever Understanding Risk Boulder workshop and tech challenge. More details here: http://urboulder.ushahidi.com.,RNI Activities,40.015791,-105.277434,1
Finalizing contract with HOT Team in Indonesia,2/26/15 20:53,"Open Data Lab, Jakarta, Indonesia",Spent the week in Jakarta finalizing our training schedule and signing our contract with the Humanitarian OpenStreetMap Team there. They've done amazing work teaching OpenStreetMap and Ushahidi to development and humanitarian organizations and we're looking forward to having them onboard!,RNI Activities,-6.202382,106.826495,1
Meeting with neighborhood leaders in Purwodinatan,2/24/15 12:49,"Neighborhood of Purwodinatan, Semarang, Central Java, Indonesia","RNI and Hysteria met with leaders of the neighborhood of Purwodinatan to get their approval for the project. They were incredibly receptive, not only approving the project, but offering their offices for meetings and identifying potentially useful baseline demographic data for us to look at to better understand the neighborhood composition.",RNI Activities,-6.971437,110.429544,2
Site visit Bustaman,2/23/15 20:11,"Neighborhood of Bustaman, Semarang, Central Java, Indonesia","RNI spent two days visiting the neighborhood of ""Bustaman"" where Hysteria has successfully launched several products that have led to creating public spaces for food vendors, a reduction in traffic, and improved street clean up.",RNI Activities,-6.973808,110.430361,1
Signed Final Contract with Grobak Hysteria,2/20/15 12:00,"Semarang, Central Java, Indonesia",RNI spent a week in Semarang finalizing our project design and signing our contract for the project. So excited to be moving forward with Grobak Hysteria as our lead partner!,RNI Activities,-6.970277,110.423214,1
Ushahidi Team Meeting,2/1/15 12:00,"Diani Beach, Gombato, Kwale, 80401, Kenya","During the yearly, week-long, team retreat in Kenya RNI was able to gather important communications support that will help us push our message forward in 2015. Moreover, given the success of the program so far, Ushahidi has decided to grow the program moving forward.",RNI Activities,-4.290581,39.585806,2
Finalizing Activity calendar with Hysteria,2/21/15 9:36,"Semarang, Central Java, Indonesia",Spent the day working with Hysteria to finalize our scope of work and deliverables for the 100RC Project,RNI Activities,-7.007133,110.399567,1
Project Design with the Ground Truth Initiative,1/22/15 11:56,Open Gov Hub,"The Ground Truth Initiative has years of experience using Ushahidi tools to build resilience in marginalized communities. RNI has worked closely with them to develop our project in Semarang, Indonesia. Ground helped us create a scope of work based on many lessons learned, which included details about hardware, training, and key social components to the work that we likely would have missed. We are grateful for their insights. Find out more about their work on their blog: http://groundtruth.in/blog.",RNI Activities,38.904223,-77.033127,1
